16083101600,신한은행 기업 모바일뱅킹 업그레이드 구축을 위한 개발 용역,136.1,3|10260:51.0,10451:45.1,10286:40.0
17022101700,하나은행 New 자산관리시스템 구축(계정단말)을 위한 개발용역,130.7,2|10477:91.0,10405:39.7
16888901615,BA본부지원업무,126.70000000000003,11|10371:35.2,10405:32.099999999999994,10442:17.0,10435:14.0,10456:12.0,10478:6.0,10383:6.0,10232:2.0,10423:1.1,10477:1.0,10492:0.3
17043101700,(공통)비대면 금융상품마켓 고도화,119.0,1|10491:119.0
16028201600,국민연금 주거래시스템 유지보수 도급(3차년도) 계약,118.0,2|10164:98.0,10091:20.0
17030101700,상호금융 태블릿브랜치 구축,103.0,1|10484:103.0
17056201700,2017년 사립학교교직원연금공단 IFRS 유지보수,90.0,1|10434:90.0
16023101600,NH 전환대응개발,88.0,3|10342:47.0,10403:25.0,10447:16.0
17071101700,광주은행 모바일 간편약정서비스(BDT) 시스템 구축,85.5,4|10449:35.0,10431:21.0,10308:18.0,10291:11.5
17999901710,Channel Part   Business Support,72.7,3|10405:40.7,10454:22.0,10383:10.0
17038101700,SBJ 디지털 플랫폼 시스템 구축 개발용역 공급계약,72.0,1|10497:72.0
17061101700,2017년 KB국민은행 전담반 수행,68.5,1|10405:68.5
16888901618,BI본부지원업무,62.2,5|10448:32.0,10489:14.6,10490:10.5,10423:3.1,10483:2.0
17066101700,NH 콕뱅크 고도화 구축 프로젝트,58.0,1|10456:58.0
16062201600,사립학교교직원연금공단 IFRS 유지보수,48.0,1|10434:48.0
17079101700,국민연금 주거래은행 선행사업 개발,48.0,2|10175:25.0,10417:23.0
17074101700,하나은행 하이로보(HAI Robo) 고도화 구축(온라인플랫폼),48.0,1|10286:48.0
17019101700,우리은행 차세대 시스템 구축 인뱅. 스뱅 대응 부문 제안,45.9,2|10431:36.0,10499:9.9
17045101700,한국보건산업진흥원 신연구비관리시스템 개발용역계약,45.0,2|10260:24.0,10356:21.0
17078101700,e나라도움시스템 연동모듈 개발,43.0,2|10384:26.0,10504:17.0
17072301700,가상계좌 재판매 사업,40.7,2|10502:21.0,10413:19.7
16085101600,모바일 오피스 마케팅앱 고도화,40.0,1|10436:40.0
17999901721,Strategy Unit  Business Support,39.0,2|10515:20.0,10510:19.0
17999901702,1 Unit   Business Support,36.4,7|10208:21.0,10082:10.0,10491:2.0,10444:2.0,10483:1.0,10423:0.2,10175:0.2
17080101700,신한은행 비대면채널 에러코드정비 및 모바일뱅킹상품설명고도화,33.0,1|10451:33.0
17073101700,광주은행 스마트뱅킹 고도화,33.0,2|10291:21.0,10308:12.0
16084101600,신한은행 S뱅크(개인용) 고도화 추진 개발 프로젝트,31.0,1|10336:31.0
16075101600,농협 (공통)IT전환 연계 e-금융 및 생체인증 확대 개발,29.0,1|10417:29.0
16039501600,핑거 글로벌 프로젝트(베트남),26.6,1|10441:26.6
17009201700,신한은행 한국정보화진흥원 내부시스템 연동 개발용역,22.0,2|10384:21.5,10460:0.5
15007101500,금융결제원 연동 CMS 개발,20.0,1|10384:20.0
17999901713,Public 1 Part  Business Support,15.0,1|10384:15.0
16071101600,신한은행 시니어고객 비금융 플랫폼 시스템 구축 개발용역 공급계약,15.0,2|10236:13.0,10208:2.0
16888901622,전략기획본부지원업무,12.8,3|10413:10.8,10371:1.0,10335:1.0
17999901704,eBiz Part   Business Support,10.0,2|10379:6.0,10499:4.0
17058101700,미즈호 Smart 일본어 적용 스크래핑 관련 화면 개발,8.3,2|10384:6.0,10194:2.3
17999901722,Service Unit  Business Support,7.3,2|10449:4.0,10175:3.3000000000000003
16086101600,제주은행 제주도개발공사 통합CMS 영림원 ERP 연동 개발,6.0,1|10384:6.0
17036101700, NH농협은행 올원뱅크베트남 TIGO 프로젝트,6.0,2|10335:5.0,10441:1.0
